时间,电压,周期,温箱数据
11:33:30,10.000,2,079
11:33:32,10.000,2,080
11:33:34,10.000,2,079
11:33:36,10.000,2,080
11:33:38,10.000,2,080
11:33:40,10.000,2,081
11:33:42,10.000,2,081
11:33:44,10.000,2,080
11:33:46,10.000,2,080
11:33:48,10.000,2,078
11:33:50,10.000,2,080
11:33:52,10.000,2,080
11:33:54,10.000,2,079
11:33:56,10.000,2,080
11:33:58,10.000,2,080
11:34:00,10.000,2,081
11:34:02,10.000,2,081
11:34:04,10.000,2,080
11:34:06,10.000,2,080
11:34:08,10.000,2,080
11:34:10,10.000,2,080
11:34:12,10.000,2,080
11:34:14,10.000,2,080
11:34:16,10.000,2,080
11:34:18,10.000,2,080
11:34:20,10.000,2,079
11:34:22,10.000,2,080
11:34:24,10.000,2,080
11:34:26,10.000,2,080
11:34:28,10.000,2,080
11:34:30,10.000,2,080
11:34:32,10.000,2,079
11:34:34,10.000,2,080
11:34:36,10.000,2,079
11:34:38,10.000,2,079
11:34:40,10.000,2,080
11:34:42,10.000,2,080
11:34:44,10.000,2,079
11:34:46,10.000,2,079
11:34:48,10.000,2,078
11:34:50,10.000,2,079
11:34:52,10.000,2,079
11:34:54,10.000,2,079
11:34:56,10.000,2,080
11:34:58,10.000,2,080
11:35:00,10.000,2,080
11:35:02,10.000,2,079
11:35:04,10.000,2,080
11:35:06,10.000,2,078
11:35:08,10.000,2,079
11:35:10,10.000,2,079
11:35:12,10.000,2,080
11:35:14,10.000,2,079
11:35:16,10.000,2,079
11:35:18,10.000,2,079
11:35:20,10.000,2,078
11:35:22,10.000,2,079
11:35:24,10.000,2,079
11:35:26,10.000,2,080
11:35:28,10.000,2,079
11:35:30,10.000,2,078
11:35:32,10.000,2,078
11:35:34,10.000,2,079
11:35:36,10.000,2,080
11:35:38,10.000,2,079
11:35:40,10.000,2,079
11:35:42,10.000,2,079
11:35:44,10.000,2,079
11:35:46,10.000,2,077
11:35:48,10.000,2,076
11:35:50,10.000,2,079
11:35:52,10.000,2,079
11:35:54,10.000,2,079
11:35:56,10.000,2,078
11:35:58,10.000,2,079
11:36:00,10.000,2,079
11:36:02,10.000,2,078
11:36:04,10.000,2,079
11:36:06,10.000,2,079
11:36:08,10.000,2,079
11:36:10,10.000,2,079
11:36:12,10.000,2,077
11:36:14,10.000,2,079
11:36:16,10.000,2,079
11:36:18,10.000,2,079
11:36:20,10.000,2,075
11:36:22,10.000,2,079
11:36:24,10.000,2,078
11:36:26,10.000,2,078
11:36:28,50.000,2,078
11:36:30,50.000,2,078
11:36:32,50.000,2,078
11:36:34,50.000,2,078
11:36:36,50.000,2,077
11:36:38,50.000,2,078
11:36:40,50.000,2,078
11:36:42,50.000,2,078
11:36:44,50.000,2,078
11:36:46,50.000,2,077
11:36:48,50.000,2,078
11:36:50,50.000,2,079
11:36:52,50.000,2,076
11:36:54,50.000,2,078
11:36:56,50.000,2,078
11:36:58,10.000,2,079
11:37:00,10.000,2,077
11:37:02,10.000,2,078
11:37:04,10.000,2,077
11:37:06,10.000,2,078
11:37:08,10.000,2,078
11:37:10,10.000,2,077
11:37:12,10.000,2,078
11:37:14,10.000,2,078
11:37:16,10.000,2,077
11:37:18,10.000,2,078
11:37:20,10.000,2,078
11:37:22,10.000,2,078
11:37:24,10.000,2,078
11:37:26,10.000,2,078
11:37:28,50.000,2,078
11:37:30,50.000,2,078
11:37:32,50.000,2,078
11:37:34,50.000,2,077
11:37:36,50.000,2,077
11:37:38,50.000,2,078
11:37:40,50.000,2,076
11:37:42,50.000,2,078
11:37:44,50.000,2,077
11:37:46,50.000,2,077
11:37:48,50.000,2,077
11:37:50,50.000,2,078
11:37:52,50.000,2,078
11:37:54,50.000,2,078
11:37:56,50.000,2,078
11:37:58,10.000,2,078
11:38:00,10.000,2,078
11:38:02,10.000,2,078
11:38:04,10.000,2,078
11:38:06,10.000,2,077
11:38:08,10.000,2,078
11:38:10,10.000,2,079
11:38:12,10.000,2,078
11:38:14,10.000,2,076
11:38:16,10.000,2,077
11:38:18,10.000,2,077
11:38:20,10.000,2,078
11:38:23,10.000,2,077
11:38:25,10.000,2,077
11:38:27,10.000,2,078
11:38:29,50.000,2,077
11:38:31,50.000,2,076
11:38:33,50.000,2,078
11:38:35,50.000,2,078
11:38:37,50.000,2,076
11:38:39,50.000,2,078
11:38:41,50.000,2,078
11:38:43,50.000,2,077
11:38:45,50.000,2,077
11:38:47,50.000,2,078
11:38:49,50.000,2,077
11:38:51,50.000,2,077
11:38:53,50.000,2,076
11:38:55,50.000,2,078
11:38:57,50.000,2,076
11:38:59,10.000,2,077
11:39:01,10.000,2,078
11:39:03,10.000,2,078
11:39:05,10.000,2,078
11:39:07,10.000,2,077
11:39:09,10.000,2,077
11:39:11,10.000,2,078
11:39:13,10.000,2,077
11:39:15,10.000,2,078
11:39:17,10.000,2,078
11:39:19,10.000,2,078
11:39:21,10.000,2,077
11:39:23,10.000,2,077
11:39:25,10.000,2,078
11:39:27,10.000,2,078
11:39:29,10.000,2,078
11:39:31,10.000,2,076
11:39:33,10.000,2,078
11:39:35,10.000,2,078
11:39:37,10.000,2,077
11:39:39,10.000,2,078
11:39:41,10.000,2,078
11:39:43,10.000,2,077
11:39:45,10.000,2,078
11:39:47,10.000,2,078
11:39:49,10.000,2,077
11:39:51,10.000,2,078
11:39:53,10.000,2,079
11:39:55,10.000,2,078
11:39:57,10.000,2,077
11:39:59,50.000,2,078
11:40:01,50.000,2,078
11:40:03,50.000,2,078
11:40:05,50.000,2,077
11:40:07,50.000,2,076
11:40:09,50.000,2,077
11:40:11,50.000,2,078
11:40:13,50.000,2,077
11:40:15,50.000,2,077
11:40:17,50.000,2,077
11:40:19,50.000,2,078
11:40:21,50.000,2,077
11:40:23,50.000,2,077
11:40:25,50.000,2,076
11:40:27,50.000,2,077
11:40:29,50.000,2,075
11:40:31,50.000,2,077
11:40:33,50.000,2,078
11:40:35,50.000,2,077
11:40:37,50.000,2,077
11:40:39,50.000,2,079
11:40:41,50.000,2,078
11:40:43,50.000,2,077
11:40:45,50.000,2,077
11:40:47,50.000,2,078
11:40:49,50.000,2,077
11:40:51,50.000,2,077
11:40:53,50.000,2,077
11:40:55,50.000,2,076
11:40:57,50.000,2,077
11:40:59,10.000,2,077
11:41:01,10.000,2,078
11:41:03,10.000,2,078
11:41:05,10.000,2,079
11:41:07,10.000,2,076
11:41:09,10.000,2,077
11:41:11,10.000,2,078
11:41:13,10.000,2,076
11:41:15,10.000,2,079
11:41:17,10.000,2,078
11:41:19,10.000,2,078
11:41:21,10.000,2,078
11:41:23,10.000,2,077
11:41:25,10.000,2,078
11:41:27,10.000,2,077
11:41:29,10.000,2,078
11:41:31,10.000,2,078
11:41:33,10.000,2,077
11:41:35,10.000,2,078
11:41:37,10.000,2,078
11:41:39,10.000,2,078
11:41:41,10.000,2,078
11:41:43,10.000,2,078
11:41:45,10.000,2,078
11:41:47,10.000,2,079
11:41:49,10.000,2,078
11:41:51,10.000,2,078
11:41:53,10.000,2,079
11:41:55,10.000,2,078
11:41:57,10.000,2,077
11:41:59,50.000,2,078
11:42:01,50.000,2,078
11:42:03,50.000,2,077
11:42:05,50.000,2,077
11:42:07,50.000,2,078
11:42:09,50.000,2,077
11:42:11,50.000,2,077
11:42:13,50.000,2,077
11:42:15,50.000,2,077
11:42:17,50.000,2,078
11:42:19,50.000,2,078
11:42:21,50.000,2,078
11:42:23,50.000,2,077
11:42:25,50.000,2,078
11:42:27,50.000,2,077
11:42:29,10.000,2,077
11:42:31,10.000,2,079
11:42:33,10.000,2,076
11:42:35,10.000,2,078
11:42:37,10.000,2,077
11:42:39,10.000,2,078
11:42:41,10.000,2,077
11:42:43,10.000,2,079
11:42:45,10.000,2,077
11:42:47,10.000,2,078
11:42:49,10.000,2,078
11:42:51,10.000,2,078
11:42:53,10.000,2,077
11:42:55,10.000,2,078
11:42:57,10.000,2,079
11:42:59,10.000,2,077
11:43:01,10.000,2,077
11:43:03,10.000,2,078
11:43:05,10.000,2,077
11:43:07,10.000,2,077
11:43:09,10.000,2,077
11:43:11,10.000,2,078
11:43:13,10.000,2,079
11:43:15,10.000,2,078
11:43:17,10.000,2,078
11:43:19,10.000,2,078
11:43:21,10.000,2,077
11:43:23,10.000,2,078
11:43:25,10.000,2,077
11:43:27,10.000,2,076
11:43:29,10.000,2,077
11:43:31,10.000,2,078
11:43:33,10.000,2,078
11:43:35,10.000,2,078
11:43:37,10.000,2,078
11:43:39,10.000,2,077
11:43:41,10.000,2,078
11:43:43,10.000,2,077
11:43:45,10.000,2,078
11:43:47,10.000,2,077
11:43:49,10.000,2,078
11:43:51,10.000,2,077
11:43:53,10.000,2,078
11:43:55,10.000,2,077
11:43:58,10.000,2,077
11:44:00,50.000,2,077
11:44:02,50.000,2,077
11:44:04,50.000,2,077
11:44:06,50.000,2,078
11:44:08,50.000,2,078
11:44:10,50.000,2,078
11:44:12,50.000,2,077
11:44:14,50.000,2,077
11:44:16,50.000,2,077
11:44:18,50.000,2,077
11:44:20,50.000,2,077
11:44:22,50.000,2,078
11:44:24,50.000,2,077
11:44:26,50.000,2,077
11:44:28,50.000,2,078
11:44:30,10.000,2,077
11:44:32,10.000,2,078
11:44:34,10.000,2,077
11:44:36,10.000,2,077
11:44:38,10.000,2,078
11:44:40,10.000,2,076
11:44:42,10.000,2,077
11:44:44,10.000,2,078
11:44:46,10.000,2,076
11:44:48,10.000,2,077
11:44:50,10.000,2,078
11:44:52,10.000,2,077
11:44:54,10.000,2,077
11:44:56,10.000,2,076
11:44:58,10.000,2,078
11:45:00,10.000,2,077
11:45:02,10.000,2,077
11:45:04,10.000,2,077
11:45:06,10.000,2,078
11:45:08,10.000,2,077
11:45:10,10.000,2,077
11:45:12,10.000,2,077
11:45:14,10.000,2,077
11:45:16,10.000,2,077
11:45:18,10.000,2,077
11:45:20,10.000,2,077
11:45:22,10.000,2,078
11:45:24,10.000,2,077
11:45:26,10.000,2,077
11:45:28,10.000,2,077
11:45:30,50.000,2,078
11:45:32,50.000,2,078
11:45:34,50.000,2,078
11:45:36,50.000,2,078
11:45:38,50.000,2,078
11:45:40,50.000,2,078
11:45:42,50.000,2,075
11:45:44,50.000,2,077
11:45:46,50.000,2,077
11:45:48,50.000,2,078
11:45:50,50.000,2,078
11:45:52,50.000,2,077
11:45:54,50.000,2,078
11:45:56,50.000,2,077
11:45:58,50.000,2,077
11:46:00,10.000,2,077
11:46:02,10.000,2,077
11:46:04,10.000,2,077
11:46:06,10.000,2,075
11:46:08,10.000,2,077
11:46:10,10.000,2,077
11:46:12,10.000,2,077
11:46:14,10.000,2,077
11:46:16,10.000,2,077
11:46:18,10.000,2,077
11:46:20,10.000,2,075
11:46:22,10.000,2,077
11:46:24,10.000,2,077
11:46:26,10.000,2,078
11:46:28,10.000,2,076
11:46:30,50.000,2,076
11:46:32,50.000,2,077
11:46:34,50.000,2,077
11:46:36,50.000,2,077
11:46:38,50.000,2,077
11:46:40,50.000,2,077
11:46:42,50.000,2,077
11:46:44,50.000,2,078
11:46:46,50.000,2,077
11:46:48,50.000,2,077
11:46:50,50.000,2,077
11:46:52,50.000,2,078
11:46:54,50.000,2,077
11:46:56,50.000,2,077
11:46:58,50.000,2,077
11:47:00,50.000,2,078
11:47:02,50.000,2,076
11:47:04,50.000,2,076
11:47:06,50.000,2,077
11:47:08,50.000,2,077
11:47:10,50.000,2,077
11:47:12,50.000,2,075
11:47:14,50.000,2,077
11:47:16,50.000,2,077
11:47:18,50.000,2,075
11:47:20,50.000,2,077
11:47:22,50.000,2,077
11:47:24,50.000,2,077
11:47:26,50.000,2,077
11:47:28,50.000,2,077
11:47:30,10.000,2,077
11:47:32,10.000,2,078
11:47:34,10.000,2,075
11:47:36,10.000,2,077
11:47:38,10.000,2,076
11:47:40,10.000,2,077
11:47:42,10.000,2,077
11:47:44,10.000,2,076
11:47:46,10.000,2,077
11:47:48,10.000,2,078
11:47:50,10.000,2,077
11:47:52,10.000,2,078
11:47:54,10.000,2,078
11:47:56,10.000,2,076
11:47:58,10.000,2,078
11:48:00,50.000,2,077
11:48:02,50.000,2,076
11:48:04,50.000,2,078
11:48:06,50.000,2,078
11:48:08,50.000,2,079
11:48:10,50.000,2,078
11:48:12,50.000,2,078
11:48:14,50.000,2,076
11:48:16,50.000,2,078
11:48:18,50.000,2,078
11:48:20,50.000,2,078
11:48:22,50.000,2,077
11:48:24,50.000,2,078
11:48:26,50.000,2,077
11:48:28,50.000,2,078
11:48:30,50.000,2,077
11:48:32,50.000,2,077
11:48:34,50.000,2,076
11:48:36,50.000,2,079
11:48:38,50.000,2,077
11:48:40,50.000,2,077
11:48:42,50.000,2,076
11:48:44,50.000,2,078
11:48:46,50.000,2,078
11:48:48,50.000,2,079
11:48:50,50.000,2,077
11:48:52,50.000,2,076
11:48:54,50.000,2,077
11:48:56,50.000,2,078
11:48:58,50.000,2,077
11:49:00,10.000,2,079
11:49:02,10.000,2,077
11:49:04,10.000,2,077
11:49:06,10.000,2,079
11:49:08,10.000,2,079
11:49:10,10.000,2,078
11:49:12,10.000,2,078
11:49:14,10.000,2,078
11:49:16,10.000,2,078
11:49:18,10.000,2,079
11:49:20,10.000,2,078
11:49:23,10.000,2,079
11:49:24,10.000,2,078
11:49:26,10.000,2,078
11:49:28,10.000,2,078
11:49:30,10.000,2,077
11:49:33,10.000,2,078
11:49:35,10.000,2,079
11:49:37,10.000,2,079
11:49:39,10.000,2,079
11:49:41,10.000,2,079
11:49:43,10.000,2,078
11:49:45,10.000,2,079
11:49:47,10.000,2,077
11:49:49,10.000,2,078
11:49:51,10.000,2,078
11:49:53,10.000,2,078
11:49:55,10.000,2,077
11:49:57,10.000,2,079
11:49:59,10.000,2,077
11:50:01,10.000,2,079
11:50:03,10.000,2,078
11:50:05,10.000,2,079
11:50:07,10.000,2,076
11:50:09,10.000,2,078
11:50:11,10.000,2,079
11:50:13,10.000,2,078
11:50:15,10.000,2,079
11:50:17,10.000,2,079
11:50:19,10.000,2,076
11:50:21,10.000,2,079
11:50:23,10.000,2,078
11:50:25,10.000,2,079
11:50:27,10.000,2,078
11:50:29,10.000,2,078
11:50:31,50.000,2,078
11:50:33,50.000,2,078
11:50:35,50.000,2,078
11:50:37,50.000,2,078
11:50:39,50.000,2,078
11:50:41,50.000,2,076
11:50:43,50.000,2,078
11:50:45,50.000,2,079
11:50:47,50.000,2,076
11:50:49,50.000,2,079
11:50:51,50.000,2,078
11:50:53,50.000,2,079
11:50:55,50.000,2,078
11:50:57,50.000,2,078
11:50:59,50.000,2,078
11:51:01,50.000,2,078
11:51:03,50.000,2,078
11:51:05,50.000,2,078
11:51:07,50.000,2,078
11:51:09,50.000,2,078
11:51:11,50.000,2,079
11:51:13,50.000,2,077
11:51:15,50.000,2,078
11:51:17,50.000,2,079
11:51:19,50.000,2,078
11:51:21,50.000,2,079
11:51:23,50.000,2,077
11:51:25,50.000,2,079
11:51:27,50.000,2,078
11:51:29,50.000,2,078
11:51:31,50.000,2,076
11:51:33,50.000,2,079
11:51:35,50.000,2,078
11:51:37,50.000,2,078
11:51:39,50.000,2,079
11:51:41,50.000,2,079
11:51:43,50.000,2,077
11:51:45,50.000,2,078
11:51:47,50.000,2,078
11:51:49,50.000,2,076
11:51:51,50.000,2,078
11:51:53,50.000,2,077
11:51:55,50.000,2,080
11:51:57,50.000,2,078
11:51:59,50.000,2,078
11:52:01,10.000,2,078
11:52:03,10.000,2,078
11:52:05,10.000,2,079
11:52:07,10.000,2,079
11:52:09,10.000,2,079
11:52:11,10.000,2,079
11:52:13,10.000,2,079
11:52:15,10.000,2,077
11:52:17,10.000,2,079
11:52:19,10.000,2,079
11:52:21,10.000,2,079
11:52:23,10.000,2,079
11:52:25,10.000,2,077
11:52:27,10.000,2,079
11:52:29,10.000,2,080
11:52:31,50.000,2,079
11:52:33,50.000,2,079
11:52:35,50.000,2,079
11:52:37,50.000,2,079
11:52:39,50.000,2,079
11:52:41,50.000,2,078
11:52:43,50.000,2,079
11:52:45,50.000,2,079
11:52:47,50.000,2,079
11:52:49,50.000,2,080
11:52:51,50.000,2,078
11:52:53,50.000,2,078
11:52:55,50.000,2,080
